Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762995298,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762995299,100,,Aggregated,0.000000,0.000000,26,27,28,28,33,46,54,56,60,74,74,2554,0,26,27.530767372357126,8.199417000000043,74.14483299999996,75.8038371182459
1762995300,200,,Aggregated,0.000000,0.000000,37,55,58,59,66,73,83,130,230,260,260,5043,0,37,43.8955635883402,8.199417000000043,259.7887080000001,76.1511005353956
1762995301,300,,Aggregated,1377.000000,0.000000,57,70,88,94,110,110,150,230,400,430,430,7422,0,57,62.58495846537325,8.199417000000043,427.4572499999998,76.13823767178658
1762995302,400,,Aggregated,1941.000000,0.000000,71,98,110,110,130,140,210,300,670,710,710,9883,0,71,79.76936261641178,8.199417000000043,712.6470419999999,76.22968734190023
1762995303,500,,Aggregated,2099.000000,0.000000,93,120,130,140,170,180,240,400,760,890,890,12177,0,93,98.29212597257113,8.199417000000043,888.3853750000004,76.27149544222715
1762995304,500,,Aggregated,2166.250000,0.000000,110,140,160,170,190,220,230,360,760,890,890,14650,0,110.0,112.75334302737197,8.199417000000043,888.3853750000004,76.30259385665529
1762995305,500,,Aggregated,2213.000000,0.000000,120,160,170,180,200,220,230,300,760,890,890,16991,0,120.0,122.24610986981303,8.199417000000043,888.3853750000004,76.32570184215173
1762995306,500,,Aggregated,2227.166667,0.000000,130,170,180,180,210,220,290,330,710,890,890,19237,0,130.0,131.5574922724434,8.199417000000043,888.3853750000004,76.37526641368197
1762995307,500,,Aggregated,2242.857143,0.000000,140,170,180,190,210,230,290,330,710,890,890,21561,0,140.0,137.7336795099481,8.199417000000043,888.3853750000004,76.26640693845368
1762995308,500,,Aggregated,2237.375000,0.000000,160,180,190,190,210,230,280,320,710,890,890,23900,0,160.0,141.86708655062714,8.199417000000043,888.3853750000004,76.23698744769874
