Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762996200,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762996201,100,,Aggregated,0.000000,0.000000,25,26,27,27,33,45,55,57,61,61,61,2652,0,25,26.372716567119163,7.324541000000018,61.48004100000004,83.18325791855203
1762996202,200,,Aggregated,0.000000,0.000000,38,52,54,56,60,67,74,140,210,230,230,5264,0,38,41.53772844167938,7.324541000000018,229.30204200000003,83.04768237082067
1762996203,300,,Aggregated,1582.000000,0.000000,54,67,81,86,96,110,140,210,470,470,470,7815,0,54,59.346081707997335,7.324541000000018,467.48654199999964,83.0856046065259
1762996204,400,,Aggregated,2087.500000,0.000000,67,90,100,110,130,150,170,320,520,590,590,10293,0,67,76.24781528903127,7.324541000000018,591.1651249999999,83.09161566112893
1762996205,500,,Aggregated,2230.666667,0.000000,86,110,130,140,170,180,230,370,810,900,900,12694,0,86,94.7286352038757,7.324541000000018,899.0428750000001,83.1129667559477
1762996206,500,,Aggregated,2294.500000,0.000000,97,130,150,160,180,210,310,360,810,950,950,15023,0,97,109.3449461643478,7.324541000000018,946.2784580000001,83.0445982826333
1762996207,500,,Aggregated,2318.200000,0.000000,110,150,160,170,200,280,330,360,810,950,950,16916,0,110.0,120.99147900342827,7.324541000000018,946.2784580000001,83.04788366043982
1762996208,500,,Aggregated,2351.000000,0.000000,130,160,170,180,200,280,340,370,810,950,950,19495,0,130.0,128.8894929035129,7.324541000000018,946.2784580000001,83.04380610412926
1762996209,500,,Aggregated,2274.714286,0.000000,140,160,170,180,210,280,340,360,760,950,950,22084,0,140.0,134.04344111854635,7.324541000000018,946.2784580000001,83.05655678319145
1762996210,500,,Aggregated,2249.625000,0.000000,150,160,170,180,200,270,330,360,760,950,950,24802,0,150.0,136.88471237936366,7.324541000000018,946.2784580000001,83.12293363438432
1762996211,500,,Aggregated,2276.666667,0.000000,150,160,170,180,200,270,320,360,700,950,950,27468,0,150.0,139.07825922644412,7.324541000000018,946.2784580000001,83.15712829474298
1762996212,500,,Aggregated,2312.800000,0.000000,150,160,170,180,190,250,310,350,700,950,950,30169,0,150.0,141.278233292518,7.324541000000018,946.2784580000001,83.13493983890748
1762996213,500,,Aggregated,2409.600000,0.000000,150,160,170,180,190,240,310,350,700,950,950,32868,0,150.0,142.47607835678954,7.324541000000018,946.2784580000001,83.1265364488256
1762996214,500,,Aggregated,2407.500000,0.000000,150,160,170,180,190,270,320,350,650,950,950,35180,0,150.0,145.24587670795734,7.324541000000018,946.2784580000001,83.14292211483797
1762996215,500,,Aggregated,2424.900000,0.000000,150,170,180,180,190,250,320,350,610,950,950,37890,0,150.0,146.62782489033953,7.324541000000018,946.2784580000001,83.13958828186857
1762996216,500,,Aggregated,2445.400000,0.000000,150,170,180,180,200,240,310,340,610,900,950,40208,0,150.0,148.58733636114655,7.324541000000018,946.2784580000001,83.13932550736172
1762996217,500,,Aggregated,2423.900000,0.000000,160,170,180,180,200,240,310,340,600,900,950,42660,0,160.0,150.69075461669007,7.324541000000018,946.2784580000001,83.15879043600563
1762996218,500,,Aggregated,2433.200000,0.000000,160,170,180,180,200,240,310,340,600,900,950,45377,0,160.0,150.95893665861624,7.324541000000018,946.2784580000001,83.16600921171519
1762996219,500,,Aggregated,2475.800000,0.000000,160,170,180,180,200,240,310,330,590,900,950,48217,0,160.0,151.18554598235147,7.324541000000018,946.2784580000001,83.17724039239272
1762996220,500,,Aggregated,2505.900000,0.000000,150,170,180,180,200,230,310,330,560,900,950,51043,0,150.0,151.471988874029,7.324541000000018,946.2784580000001,83.18231687008992
1762996221,500,,Aggregated,2526.800000,0.000000,150,170,180,180,190,230,300,330,560,900,950,53742,0,150.0,151.7468604938233,7.324541000000018,946.2784580000001,83.19067023929144
1762996223,500,,Aggregated,2541.500000,0.000000,160,170,180,180,200,240,300,330,550,900,950,56004,0,160.0,153.6369859306311,7.324541000000018,946.2784580000001,83.18891507749447
1762996224,500,,Aggregated,2562.700000,0.000000,160,170,180,180,200,250,300,330,550,900,950,58283,0,160.0,155.3033516919525,7.324541000000018,946.2784580000001,83.1975876327574
1762996225,500,,Aggregated,2506.300000,0.000000,160,170,180,180,210,280,330,380,550,900,950,59582,0,160.0,159.39786983308832,7.324541000000018,946.2784580000001,83.19386727535162
1762996226,500,,Aggregated,2449.300000,0.000000,160,170,180,180,210,270,330,380,530,900,950,62167,0,160.0,159.77549261814264,7.324541000000018,946.2784580000001,83.20348416362378
1762996227,500,,Aggregated,2348.200000,0.000000,160,170,180,180,210,270,330,380,530,900,950,64627,0,160.0,160.21982639666226,7.324541000000018,946.2784580000001,83.19320098410881
1762996228,500,,Aggregated,2332.700000,0.000000,160,170,180,180,210,270,330,380,520,900,950,67208,0,160.0,160.62525995930702,7.324541000000018,946.2784580000001,83.18993274610166
1762996229,500,,Aggregated,2355.900000,0.000000,160,170,180,190,210,270,330,370,520,900,950,69816,0,160.0,160.97751527857633,7.324541000000018,946.2784580000001,83.18997078033689
1762996230,500,,Aggregated,2377.800000,0.000000,160,170,180,190,210,260,320,370,490,900,950,72268,0,160.0,161.41085132884658,7.324541000000018,946.2784580000001,83.20674434051033
1762996231,500,,Aggregated,2346.400000,0.000000,160,170,180,190,210,260,320,370,490,900,950,74828,0,160.0,161.89688070973526,7.324541000000018,946.2784580000001,83.2173918853905
1762996232,500,,Aggregated,2307.300000,0.000000,160,170,180,190,210,260,320,360,490,900,950,77424,0,160.0,162.09196490092268,7.324541000000018,946.2784580000001,83.21494626989048
1762996233,500,,Aggregated,2286.600000,0.000000,160,170,180,190,210,250,310,360,470,900,950,79890,0,160.0,162.65676504979464,7.324541000000018,946.2784580000001,83.20579546876955
1762996234,500,,Aggregated,2265.100000,0.000000,160,170,180,190,210,250,310,360,470,900,950,82357,0,160.0,163.14582629573775,7.324541000000018,946.2784580000001,83.19451898442148
1762996235,500,,Aggregated,2290.800000,0.000000,160,180,180,190,210,250,310,360,470,900,950,84650,0,160.0,163.8802968078325,7.324541000000018,946.2784580000001,83.18815121086828
1762996236,500,,Aggregated,2317.500000,0.000000,160,180,180,190,210,250,310,360,470,900,950,87239,0,160.0,163.95685982445949,7.324541000000018,946.2784580000001,83.1866596361719
1762996237,500,,Aggregated,2426.300000,0.000000,160,180,180,190,210,240,310,360,470,900,950,89692,0,160.0,164.1907900696497,7.324541000000018,946.2784580000001,83.1706172233867
1762996238,500,,Aggregated,2425.600000,0.000000,160,180,180,190,210,240,310,360,470,900,950,92163,0,160.0,164.49119213618343,7.324541000000018,946.2784580000001,83.16781137766783
1762996239,500,,Aggregated,2420.100000,0.000000,160,180,180,190,210,250,320,380,470,900,950,94065,0,160.0,165.86863209160805,7.324541000000018,946.2784580000001,83.16519428055068
1762996240,500,,Aggregated,2402.900000,0.000000,160,180,190,190,220,260,330,400,470,900,950,96003,0,160.0,167.25862934416782,7.324541000000018,946.2784580000001,83.16872389404497
1762996241,500,,Aggregated,2371.700000,0.000000,160,180,190,190,220,250,330,390,470,900,950,98536,0,160.0,167.40570497271156,7.324541000000018,946.2784580000001,83.16031704148737
1762996242,500,,Aggregated,2285.400000,0.000000,160,180,190,190,220,250,330,390,470,860,950,100964,0,160.0,167.5977292214265,7.324541000000018,946.2784580000001,83.14927102729686
1762996243,500,,Aggregated,2272.200000,0.000000,170,180,190,190,220,250,330,390,470,860,950,103447,0,170.0,167.7347681578301,7.324541000000018,946.2784580000001,83.1577232785871
1762996244,500,,Aggregated,2276.800000,0.000000,160,180,190,190,210,250,330,390,470,860,950,106114,0,160.0,167.56647615393894,7.324541000000018,946.2784580000001,83.16668865559681
1762996245,500,,Aggregated,2283.500000,0.000000,160,180,180,190,210,250,320,380,470,860,950,108821,0,160.0,167.4851169990543,7.324541000000018,946.2784580000001,83.16920447340128
1762996246,500,,Aggregated,2291.400000,0.000000,160,180,180,190,210,250,320,380,470,860,950,111516,0,160.0,167.38313554051538,7.324541000000018,946.2784580000001,83.17196635460382
1762996247,500,,Aggregated,2306.600000,0.000000,160,180,180,190,210,240,320,380,470,860,950,114084,0,160.0,167.47039198494213,7.324541000000018,946.2784580000001,83.17323200448791
1762996248,500,,Aggregated,2332.000000,0.000000,160,180,180,190,210,240,320,380,470,860,950,116767,0,160.0,167.22584025633248,7.324541000000018,946.2784580000001,83.16770149100346
1762996249,500,,Aggregated,2347.500000,0.000000,160,180,180,190,210,240,310,380,470,860,950,119601,0,160.0,167.07656495273568,7.324541000000018,946.2784580000001,83.16955543849967
1762996250,500,,Aggregated,2354.800000,0.000000,160,180,180,190,210,240,310,380,470,860,950,122325,0,160.0,166.80539142232712,7.324541000000018,946.2784580000001,83.17885142039648
1762996252,500,,Aggregated,2408.400000,0.000000,160,180,180,190,210,240,310,370,470,860,950,124917,0,160.0,166.7467095739339,7.324541000000018,946.2784580000001,83.1759088034455
1762996253,500,,Aggregated,2569.700000,0.000000,160,180,180,190,210,240,310,370,470,860,950,127749,0,160.0,166.51184311692538,7.324541000000018,946.2784580000001,83.1813164878003
